Name of the Municiplaity/corporation,Ward No.,Ward reserved for,Total No. of Voters including service voters in the ward,Total Votes Polled (excluding PBs) in the ward,No. of Postal Ballots Polled in the ward,No. of Tendered Votes Polled in the ward,No. of Valid Votes (including PBs) in the ward,No. of Rejected Votes Polled (including PBs) in the ward,No. of Votes Polled to NOTA (including PBs) in the ward,Sl.No. of the Candidate in the ward,Name of the Contesting Candidate in the ward,No. of Valid Votes Secured (including PBs) by the candidate,Party Affiliation if any,Result
GHMC,Ward 27 - Akberbagh,UR(G),43979,17381,4,0,16917,304,164,8,S.SUDHEER KUMAR YADHAV,10,INDEPENDENT,
GHMC,Ward 28 - Azampura,UR(W),47953,20487,4,3,20047,332,112,1,AYESHA JAHAN NASEEM,9868,AIMIM,Elected
GHMC,Ward 28 - Azampura,UR(W),47953,20487,4,3,20047,332,112,2,JEEDIMEDLA LAVANYA,2240,BJP,
GHMC,Ward 28 - Azampura,UR(W),47953,20487,4,3,20047,332,112,3,NAKKA GODAWARI,180,INC,
GHMC,Ward 28 - Azampura,UR(W),47953,20487,4,3,20047,332,112,4,MAREPALLY ARTHI,1540,TRS,
GHMC,Ward 28 - Azampura,UR(W),47953,20487,4,3,20047,332,112,5,ASMA KHATOON,6009,INDEPENDENT,
GHMC,Ward 28 - Azampura,UR(W),47953,20487,4,3,20047,332,112,6,M PADMA,163,INDEPENDENT,
GHMC,Ward 28 - Azampura,UR(W),47953,20487,4,3,20047,332,112,7,RASHMA BANU,15,INDEPENDENT,
GHMC,Ward 28 - Azampura,UR(W),47953,20487,4,3,20047,332,112,8,SALEHA BEGUM,7,INDEPENDENT,
GHMC,Ward 28 - Azampura,UR(W),47953,20487,4,3,20047,332,112,9,CIKKA SRAVANTHI,25,INDEPENDENT,
GHMC,Ward 29 - Chavni,BC(G),47122,19473,2,0,19131,291,53,1,ABHISHEK GOUD EARUKLA,346,BJP,
GHMC,Ward 29 - Chavni,BC(G),47122,19473,2,0,19131,291,53,2,MD FAISAL HASSAN,238,INC,
GHMC,Ward 29 - Chavni,BC(G),47122,19473,2,0,19131,291,53,3,MOHAMMAED ABDUL SALAM SHAHID,14714,AIMIM,Elected
GHMC,Ward 29 - Chavni,BC(G),47122,19473,2,0,19131,291,53,4,MOHAMMAD SHOUKATH ALI,856,TRS,
GHMC,Ward 29 - Chavni,BC(G),47122,19473,2,0,19131,291,53,5,ABDUL SHABAZ,35,INDEPENDENT,
GHMC,Ward 29 - Chavni,BC(G),47122,19473,2,0,19131,291,53,6,KARIPE SAI,6,INDEPENDENT,
GHMC,Ward 29 - Chavni,BC(G),47122,19473,2,0,19131,291,53,7,MD KHAJA ALI SIDDIQUI,2936,INDEPENDENT,
GHMC,Ward 30 - Dabeerpura,UR(G),50976,20525,1,0,20082,332,112,1,ALAMDAR HUSSAIN KHAN,13499,AIMIM,Elected
GHMC,Ward 30 - Dabeerpura,UR(G),50976,20525,1,0,20082,332,112,2,MIR HYDER ALI,443,INC,
GHMC,Ward 30 - Dabeerpura,UR(G),50976,20525,1,0,20082,332,112,3,MIRZA AKHIL AFANDI,2575,BJP,
GHMC,Ward 30 - Dabeerpura,UR(G),50976,20525,1,0,20082,332,112,4,SABER,2219,TRS,
GHMC,Ward 30 - Dabeerpura,UR(G),50976,20525,1,0,20082,332,112,5,HABEEB AYDRUS,91,TDP,
GHMC,Ward 30 - Dabeerpura,UR(G),50976,20525,1,0,20082,332,112,6,KOUSAR ALI MIRZA,179,AIMIM INQUILAB,
GHMC,Ward 30 - Dabeerpura,UR(G),50976,20525,1,0,20082,332,112,7,ALTAF NASEEB KHAN,864,INDEPENDENT,
GHMC,Ward 30 - Dabeerpura,UR(G),50976,20525,1,0,20082,332,112,8,FAISAL KHAN,193,INDEPENDENT,
GHMC,Ward 30 - Dabeerpura,UR(G),50976,20525,1,0,20082,332,112,9,MOHD HAMZA HUSSAIN,19,INDEPENDENT,
GHMC,Ward 31 - Rain bazar,UR(G),42800,17981,1,0,17664,287,31,1,MOHAMMED ABDUL JAWEED,2833,TRS,
GHMC,Ward 31 - Rain bazar,UR(G),42800,17981,1,0,17664,287,31,2,MOHAMMED IQBAL HUSSAIN ZAKI,56,TDP,
GHMC,Ward 31 - Rain bazar,UR(G),42800,17981,1,0,17664,287,31,3,MOHAMMED WASAYUDDIN,12388,AIMIM,Elected
GHMC,Ward 31 - Rain bazar,UR(G),42800,17981,1,0,17664,287,31,4,RAGEER ESHWAR YADAV,268,BJP,
GHMC,Ward 31 - Rain bazar,UR(G),42800,17981,1,0,17664,287,31,5,SYED DILAWAR HUSSAIN,98,INC,
GHMC,Ward 31 - Rain bazar,UR(G),42800,17981,1,0,17664,287,31,6,S.K.KHAJA,123,INDEPENDENT,
GHMC,Ward 31 - Rain bazar,UR(G),42800,17981,1,0,17664,287,31,7,Mohammed Akram Ali Khan,50,INDEPENDENT,
GHMC,Ward 31 - Rain bazar,UR(G),42800,17981,1,0,17664,287,31,8,MOHAMMED ABDUL RAHMAN,1638,INDEPENDENT,
GHMC,Ward 31 - Rain bazar,UR(G),42800,17981,1,0,17664,287,31,9,MEHDI ALI KHAN,210,INDEPENDENT,
GHMC,Ward 32 - Pathergatti,UR(G),59149,25544,3,0,24881,611,55,1,Anil Kumar Bajaj,1404,BJP,
GHMC,Ward 32 - Pathergatti,UR(G),59149,25544,3,0,24881,611,55,2,MOHD MOOSA QASIM,620,INC,
GHMC,Ward 32 - Pathergatti,UR(G),59149,25544,3,0,24881,611,55,3,Syed Abdul Qadeer,1808,TRS,
GHMC,Ward 32 - Pathergatti,UR(G),59149,25544,3,0,24881,611,55,4,SYED SOHAIL QUADRI,20717,AIMIM,Elected
GHMC,Ward 32 - Pathergatti,UR(G),59149,25544,3,0,24881,611,55,5,Mir Vilayath Ali,51,AIMIM INQUILAB,
GHMC,Ward 32 - Pathergatti,UR(G),59149,25544,3,0,24881,611,55,6,Md Hasmath Ali S,40,INDEPENDENT,
GHMC,Ward 32 - Pathergatti,UR(G),59149,25544,3,0,24881,611,55,7,Sanjay Kumar Shukla,241,INDEPENDENT,
GHMC,Ward 33 - Moghalpura,UR(W),40641,19489,10,0,18952,449,98,1,KANCHAN SHARMA,219,INC,
GHMC,Ward 33 - Moghalpura,UR(W),40641,19489,10,0,18952,449,98,2,NASREEN SULTANA,11754,AIMIM,Elected
GHMC,Ward 33 - Moghalpura,UR(W),40641,19489,10,0,18952,449,98,3,C.MANJULA,5782,BJP,
GHMC,Ward 33 - Moghalpura,UR(W),40641,19489,10,0,18952,449,98,4,SARITHA SANAM VENKATA,1197,TRS,
GHMC,Ward 34 - Talabchanchalam,BC(W),45085,21324,1,0,20839,414,72,1,S NARJIS BANU,1467,TRS,
GHMC,Ward 34 - Talabchanchalam,BC(W),45085,21324,1,0,20839,414,72,2,MEHER UNNISA,65,TDP,
GHMC,Ward 34 - Talabchanchalam,BC(W),45085,21324,1,0,20839,414,72,3,K RENUKA,385,BJP,
GHMC,Ward 34 - Talabchanchalam,BC(W),45085,21324,1,0,20839,414,72,4,SAMEENA BEGUM,18922,AIMIM,Elected
GHMC,Ward 35 - Gowlipura,BC(W),48841,22139,14,0,21386,615,152,1,B. KAVITHA,111,TDP,
GHMC,Ward 35 - Gowlipura,BC(W),48841,22139,14,0,21386,615,152,2,P GAYATRI,592,INC,
GHMC,Ward 35 - Gowlipura,BC(W),48841,22139,14,0,21386,615,152,3,BODDU SARITHA,4610,TRS,
GHMC,Ward 35 - Gowlipura,BC(W),48841,22139,14,0,21386,615,152,4,A BHGYA LAXMI,15469,BJP,Elected
GHMC,Ward 35 - Gowlipura,BC(W),48841,22139,14,0,21386,615,152,5,B.RUCHITHA,71,AIFB,
GHMC,Ward 35 - Gowlipura,BC(W),48841,22139,14,0,21386,615,152,6,N. KAVERI,20,INDEPENDENT,
GHMC,Ward 35 - Gowlipura,BC(W),48841,22139,14,0,21386,615,152,7,P. JAYA LAXMI,261,INDEPENDENT,
GHMC,Ward 35 - Gowlipura,BC(W),48841,22139,14,0,21386,615,152,8,G. PRATYUSHA,44,INDEPENDENT,
GHMC,Ward 35 - Gowlipura,BC(W),48841,22139,14,0,21386,615,152,9,RUKUMINI CHANDAN,71,INDEPENDENT,
GHMC,Ward 35 - Gowlipura,BC(W),48841,22139,14,0,21386,615,152,10,A. ROJA,137,INDEPENDENT,
GHMC,Ward 36 - Lalithabagh,UR(G),37851,19609,4,0,19071,489,53,1,MD ALI SHARIF,12110,AIMIM,Elected
GHMC,Ward 36 - Lalithabagh,UR(G),37851,19609,4,0,19071,489,53,2,M CHANDRASEKHAR,3878,BJP,
GHMC,Ward 36 - Lalithabagh,UR(G),37851,19609,4,0,19071,489,53,3,MOHAMMED ABDUL IRFAN,1090,INC,
GHMC,Ward 36 - Lalithabagh,UR(G),37851,19609,4,0,19071,489,53,4,MOHAMMED ARIF KHAN,37,CPI,
GHMC,Ward 36 - Lalithabagh,UR(G),37851,19609,4,0,19071,489,53,5,G RAGHAVENDRA RAJU,1782,TRS,
GHMC,Ward 36 - Lalithabagh,UR(G),37851,19609,4,0,19071,489,53,6,JANGA RAVI KUMAR YADAV,162,INDEPENDENT,
GHMC,Ward 36 - Lalithabagh,UR(G),37851,19609,4,0,19071,489,53,7,MOHAMMED MUNAWAR ALI,12,INDEPENDENT,
GHMC,Ward 37 - Kurmaguda,BC(W),54887,23865,10,0,23056,745,74,1,NAVITHA YADAV MAILKOL,2360,TRS,
GHMC,Ward 37 - Kurmaguda,BC(W),54887,23865,10,0,23056,745,74,2,PRASANNA DEVI BALISHETTI,247,INC,
GHMC,Ward 37 - Kurmaguda,BC(W),54887,23865,10,0,23056,745,74,3,MAHAPARA,13152,AIMIM,Elected
GHMC,Ward 37 - Kurmaguda,BC(W),54887,23865,10,0,23056,745,74,4,P SHANTHA,7028,BJP,
GHMC,Ward 37 - Kurmaguda,BC(W),54887,23865,10,0,23056,745,74,5,R.SATYAVATHI,55,TDP,
GHMC,Ward 37 - Kurmaguda,BC(W),54887,23865,10,0,23056,745,74,6,VALLURI NANDINI,3,INDEPENDENT,
GHMC,Ward 37 - Kurmaguda,BC(W),54887,23865,10,0,23056,745,74,7,N.SARITHA,211,INDEPENDENT,
GHMC,Ward 38 - I.S.Sadan,UR(W),51602,20952,19,0,20240,558,173,1,Korra Devi,227,TDP,
GHMC,Ward 38 - I.S.Sadan,UR(W),51602,20952,19,0,20240,558,173,2,K. Manjula,357,INC,
GHMC,Ward 38 - I.S.Sadan,UR(W),51602,20952,19,0,20240,558,173,3,A. Lakshmi,154,CPI,
GHMC,Ward 38 - I.S.Sadan,UR(W),51602,20952,19,0,20240,558,173,4,J SWEETHA J,10924,BJP,Elected
GHMC,Ward 38 - I.S.Sadan,UR(W),51602,20952,19,0,20240,558,173,5,Smt. Sama Swapna,8522,TRS,
GHMC,Ward 38 - I.S.Sadan,UR(W),51602,20952,19,0,20240,558,173,6,Smt. Akula Shylaja,7,INDEPENDENT,
GHMC,Ward 38 - I.S.Sadan,UR(W),51602,20952,19,0,20240,558,173,7,K.JIVITA,32,INDEPENDENT,
GHMC,Ward 38 - I.S.Sadan,UR(W),51602,20952,19,0,20240,558,173,8,Smt. Ramavath Bahrathi,17,INDEPENDENT,
GHMC,Ward 39 - Santhoshnagar,BC(G),47341,17007,1,0,16486,476,46,1,JAGAN MOHAN.K,880,BJP,
GHMC,Ward 39 - Santhoshnagar,BC(G),47341,17007,1,0,16486,476,46,2,MATEEN SHAREEF,889,INC,
GHMC,Ward 39 - Santhoshnagar,BC(G),47341,17007,1,0,16486,476,46,3,MOHAMMED MUZAFFAR HUSSAIN,13135,AIMIM,Elected
GHMC,Ward 39 - Santhoshnagar,BC(G),47341,17007,1,0,16486,476,46,4,C.SRINIVAS,1524,TRS,
GHMC,Ward 39 - Santhoshnagar,BC(G),47341,17007,1,0,16486,476,46,5,SHAIK ABDUL SATTAR,58,CPM,
GHMC,Ward 40 - Riyasath nagar,UR(G),41747,20978,6,0,20559,336,89,1,KOLLA MAHENDER,1202,BJP,
GHMC,Ward 40 - Riyasath nagar,UR(G),41747,20978,6,0,20559,336,89,2,MIRZA MUSTAFA BAIG,17368,AIMIM,Elected
GHMC,Ward 40 - Riyasath nagar,UR(G),41747,20978,6,0,20559,336,89,3,SYED MUSTAFA QUADRI,216,INC,
GHMC,Ward 40 - Riyasath nagar,UR(G),41747,20978,6,0,20559,336,89,4,B SANTOSH KUMAR,1145,TRS,
GHMC,Ward 40 - Riyasath nagar,UR(G),41747,20978,6,0,20559,336,89,5,MOHAMMED ZAHEED KHAN,591,INDEPENDENT,
GHMC,Ward 40 - Riyasath nagar,UR(G),41747,20978,6,0,20559,336,89,6,J MAHESH YADAV,37,INDEPENDENT,
GHMC,Ward 41 - Kanchanbagh,BC(W),43225,20812,3,0,20020,729,66,1,AMENA SABA,638,INC,
GHMC,Ward 41 - Kanchanbagh,BC(W),43225,20812,3,0,20020,729,66,2,KANKTEKAR ROJA,247,BJP,
GHMC,Ward 41 - Kanchanbagh,BC(W),43225,20812,3,0,20020,729,66,3,RESHMA FATIMA,17709,AIMIM,Elected
GHMC,Ward 41 - Kanchanbagh,BC(W),43225,20812,3,0,20020,729,66,4,VASANTHA AKULA,1267,TRS,
GHMC,Ward 41 - Kanchanbagh,BC(W),43225,20812,3,0,20020,729,66,5,FARZANA BEGUM,148,AIMIM INQUILAB,
GHMC,Ward 41 - Kanchanbagh,BC(W),43225,20812,3,0,20020,729,66,6,KHALEDA SULTANA,11,INDEPENDENT,
GHMC,Ward 42 - Barkas,BC(W),41243,17131,0,0,16612,452,67,1,Chenniahgari Saritha,1891,TRS,
GHMC,Ward 42 - Barkas,BC(W),41243,17131,0,0,16612,452,67,2,Vijaya laxmi,1163,BJP,
GHMC,Ward 42 - Barkas,BC(W),41243,17131,0,0,16612,452,67,3,Shabana Begum,13558,AIMIM,Elected
GHMC,Ward 43 - Chandrayan gutta,BC(G),49249,25374,2,0,24551,735,90,1,ABDUL WAHAB,19152,AIMIM,Elected
GHMC,Ward 43 - Chandrayan gutta,BC(G),49249,25374,2,0,24551,735,90,2,JURKI SANTOSH RANI,1915,TRS,
GHMC,Ward 43 - Chandrayan gutta,BC(G),49249,25374,2,0,24551,735,90,3,J. NAVEEN KUMAR,2419,BJP,
GHMC,Ward 43 - Chandrayan gutta,BC(G),49249,25374,2,0,24551,735,90,4,REDDY RAJU,174,TDP,
GHMC,Ward 43 - Chandrayan gutta,BC(G),49249,25374,2,0,24551,735,90,5,Shaik Afzal,779,INC,
GHMC,Ward 43 - Chandrayan gutta,BC(G),49249,25374,2,0,24551,735,90,6,MOHD FAIZ AHMED NADEEM,41,AIMIM INQUILAB,
GHMC,Ward 43 - Chandrayan gutta,BC(G),49249,25374,2,0,24551,735,90,7,NAZIMA BEGUM,13,INDEPENDENT,
GHMC,Ward 43 - Chandrayan gutta,BC(G),49249,25374,2,0,24551,735,90,8,SYED AZEEM UDDIN,58,INDEPENDENT,
GHMC,Ward 44 - Uppuguda,UR(G),44565,22651,11,0,21915,662,85,1,THADEM SRINIVAS RAO,5402,BJP,
GHMC,Ward 44 - Uppuguda,UR(G),44565,22651,11,0,21915,662,85,2,B. NAGESH,468,INC,
GHMC,Ward 44 - Uppuguda,UR(G),44565,22651,11,0,21915,662,85,3,FAHAD BIN ABDUL SAMED BIN ABDAT,13408,AIMIM,Elected
GHMC,Ward 44 - Uppuguda,UR(G),44565,22651,11,0,21915,662,85,4,SMT.MUPPIDI SHOBHA,1463,TRS,
GHMC,Ward 44 - Uppuguda,UR(G),44565,22651,11,0,21915,662,85,5,SYED ALI,33,CPI,
GHMC,Ward 44 - Uppuguda,UR(G),44565,22651,11,0,21915,662,85,6,K. SOMMAIAH,13,AIMIM INQUILAB,
GHMC,Ward 44 - Uppuguda,UR(G),44565,22651,11,0,21915,662,85,7,GADDAM NARASIMHA,28,INDEPENDENT,
GHMC,Ward 44 - Uppuguda,UR(G),44565,22651,11,0,21915,662,85,8,DEVALAPALLY NARESH KUMAR,82,INDEPENDENT,
GHMC,Ward 44 - Uppuguda,UR(G),44565,22651,11,0,21915,662,85,9,NANAVATH RAJU,268,INDEPENDENT,
GHMC,Ward 44 - Uppuguda,UR(G),44565,22651,11,0,21915,662,85,10,D. BANUCHANDER,68,INDEPENDENT,
GHMC,Ward 44 - Uppuguda,UR(G),44565,22651,11,0,21915,662,85,11,MOHAMMED JAFAR AHMED,15,INDEPENDENT,
GHMC,Ward 44 - Uppuguda,UR(G),44565,22651,11,0,21915,662,85,12,SHAIK MOHAMMED,667,INDEPENDENT,
GHMC,Ward 45 - Jangammet,UR(G),46166,24839,12,0,24029,756,66,1,A.KRISHNA,329,CPM,
GHMC,Ward 45 - Jangammet,UR(G),46166,24839,12,0,24029,756,66,2,KOWDI MAHENDER,9046,BJP,
GHMC,Ward 45 - Jangammet,UR(G),46166,24839,12,0,24029,756,66,3,N. PRAMOD REDDY,331,INC,
GHMC,Ward 45 - Jangammet,UR(G),46166,24839,12,0,24029,756,66,4,MOHAMMED ABDUR RAHMAN,10629,AIMIM,Elected
GHMC,Ward 45 - Jangammet,UR(G),46166,24839,12,0,24029,756,66,5,K. SWAROOPA,3191,TRS,
GHMC,Ward 45 - Jangammet,UR(G),46166,24839,12,0,24029,756,66,6,GADDEMAIDE HARINATH,19,MCPIU,
GHMC,Ward 45 - Jangammet,UR(G),46166,24839,12,0,24029,756,66,7,SYED ZIA UDDIN TAHER,257,WPI,
GHMC,Ward 45 - Jangammet,UR(G),46166,24839,12,0,24029,756,66,8,V. GOPI,5,INDEPENDENT,
GHMC,Ward 45 - Jangammet,UR(G),46166,24839,12,0,24029,756,66,9,S. CHANDRA PRAKASH,23,INDEPENDENT,
GHMC,Ward 45 - Jangammet,UR(G),46166,24839,12,0,24029,756,66,10,K.JAGAN,21,INDEPENDENT,
GHMC,Ward 45 - Jangammet,UR(G),46166,24839,12,0,24029,756,66,11,JINKUNTLA MADHAVA RAO,40,INDEPENDENT,
GHMC,Ward 45 - Jangammet,UR(G),46166,24839,12,0,24029,756,66,12,POLELA CHANDER SHAKER,24,INDEPENDENT,
GHMC,Ward 45 - Jangammet,UR(G),46166,24839,12,0,24029,756,66,13,MOHAMMED RIYAZ,58,INDEPENDENT,
GHMC,Ward 45 - Jangammet,UR(G),46166,24839,12,0,24029,756,66,14,METTU SRINIVAS,11,INDEPENDENT,
GHMC,Ward 45 - Jangammet,UR(G),46166,24839,12,0,24029,756,66,15,RAJINIKANTH T,0,INDEPENDENT,
GHMC,Ward 45 - Jangammet,UR(G),46166,24839,12,0,24029,756,66,16,K. RANGA CHARYA,8,INDEPENDENT,
GHMC,Ward 45 - Jangammet,UR(G),46166,24839,12,0,24029,756,66,17,VENKATESH,3,INDEPENDENT,
GHMC,Ward 45 - Jangammet,UR(G),46166,24839,12,0,24029,756,66,18,SRI.RAMULA BHASKAR,6,INDEPENDENT,
GHMC,Ward 45 - Jangammet,UR(G),46166,24839,12,0,24029,756,66,19,B. SRI SAILAM,7,INDEPENDENT,
GHMC,Ward 45 - Jangammet,UR(G),46166,24839,12,0,24029,756,66,20,V SURENDER,21,INDEPENDENT,
GHMC,Ward 46 - Falaknuma,ST(G),48194,22840,2,0,22090,700,52,1,Karamtot Ganesh Rathod,244,INC,
GHMC,Ward 46 - Falaknuma,ST(G),48194,22840,2,0,22090,700,52,2,K.Thara Bai,19434,AIMIM,Elected
GHMC,Ward 46 - Falaknuma,ST(G),48194,22840,2,0,22090,700,52,3,Nenawath Bikku Naik,99,BJP,
GHMC,Ward 46 - Falaknuma,ST(G),48194,22840,2,0,22090,700,52,4,Sabavat Giridhar Naik,2150,TRS,
GHMC,Ward 46 - Falaknuma,ST(G),48194,22840,2,0,22090,700,52,5,Gugloth Mahender,130,INDEPENDENT,
GHMC,Ward 46 - Falaknuma,ST(G),48194,22840,2,0,22090,700,52,6,Mounika Sabavat,33,INDEPENDENT,
GHMC,Ward 47 - Nawabsaheb kunta,BC(W),37030,20569,4,0,19877,595,101,1,Mehraj Begum,411,INC,
GHMC,Ward 47 - Nawabsaheb kunta,BC(W),37030,20569,4,0,19877,595,101,2,Shireen Khatoon,17543,AIMIM,Elected
GHMC,Ward 47 - Nawabsaheb kunta,BC(W),37030,20569,4,0,19877,595,101,3,Sameena Beguma,1923,TRS,
GHMC,Ward 48 - Shali banda,BC(G),45909,24589,3,0,23500,1011,81,1,T CHANDRA SHEKAR,245,INC,
GHMC,Ward 48 - Shali banda,BC(G),45909,24589,3,0,23500,1011,81,2,Y.NARESH,5626,BJP,
GHMC,Ward 48 - Shali banda,BC(G),45909,24589,3,0,23500,1011,81,3,MOHD MUSTAFA ALI,15820,AIMIM,Elected
GHMC,Ward 48 - Shali banda,BC(G),45909,24589,3,0,23500,1011,81,4,C. RAKESH YADAV,160,TDP,
GHMC,Ward 48 - Shali banda,BC(G),45909,24589,3,0,23500,1011,81,5,M.A. Shakeel,1619,TRS,
GHMC,Ward 48 - Shali banda,BC(G),45909,24589,3,0,23500,1011,81,6,ANANDESHI SRINIVAS PRAVEEN,30,INDEPENDENT,
GHMC,Ward 49 - Ghansi bazar,BC(W),49104,25603,3,0,24887,665,54,1,M.Anusha Goud,1120,TRS,
GHMC,Ward 49 - Ghansi bazar,BC(W),49104,25603,3,0,24887,665,54,2,Yellasani Srilatha,54,TDP,
GHMC,Ward 49 - Ghansi bazar,BC(W),49104,25603,3,0,24887,665,54,3,Parveen Sultana,14377,AIMIM,Elected
GHMC,Ward 49 - Ghansi bazar,BC(W),49104,25603,3,0,24887,665,54,4,Pooja,275,INC,
GHMC,Ward 49 - Ghansi bazar,BC(W),49104,25603,3,0,24887,665,54,5,Renu Soni,8909,BJP,
GHMC,Ward 49 - Ghansi bazar,BC(W),49104,25603,3,0,24887,665,54,6,Renu Keswani,23,INDEPENDENT,
GHMC,Ward 49 - Ghansi bazar,BC(W),49104,25603,3,0,24887,665,54,7,K.Vijaylaxmi,18,INDEPENDENT,
GHMC,Ward 49 - Ghansi bazar,BC(W),49104,25603,3,0,24887,665,54,8,Sunitha Singh,111,INDEPENDENT,
GHMC,Ward 50 - Begum bazar,UR(G),45365,24550,7,0,23835,577,145,1,V G Purushotham,219,INC,
GHMC,Ward 50 - Begum bazar,UR(G),45365,24550,7,0,23835,577,145,2,POOJA VYAS,7134,TRS,
GHMC,Ward 50 - Begum bazar,UR(G),45365,24550,7,0,23835,577,145,3,PRASHANTH RAJ YADAV,175,TDP,
GHMC,Ward 50 - Begum bazar,UR(G),45365,24550,7,0,23835,577,145,4,G SHAKAR YADAV,16186,BJP,Elected
GHMC,Ward 50 - Begum bazar,UR(G),45365,24550,7,0,23835,577,145,5,ABDUL AZEEM,34,INDEPENDENT,
GHMC,Ward 50 - Begum bazar,UR(G),45365,24550,7,0,23835,577,145,6,PURUSHOOTAM DAS APOSA,17,INDEPENDENT,
GHMC,Ward 50 - Begum bazar,UR(G),45365,24550,7,0,23835,577,145,7,U RAJENDER,43,INDEPENDENT,
GHMC,Ward 50 - Begum bazar,UR(G),45365,24550,7,0,23835,577,145,8,SHARAD KUMAR BISAWA,27,INDEPENDENT,
GHMC,Ward 51 - Gosha mahal,BC(G),42037,20389,3,0,19192,1109,91,1,KANHAYALAL,871,INC,
GHMC,Ward 51 - Gosha mahal,BC(G),42037,20389,3,0,19192,1109,91,2,DINESH KAYALKAR,165,TDP,
GHMC,Ward 51 - Gosha mahal,BC(G),42037,20389,3,0,19192,1109,91,3,G MUKESH SINGH,5130,TRS,
GHMC,Ward 51 - Gosha mahal,BC(G),42037,20389,3,0,19192,1109,91,4,LAL SINGH,12499,BJP,Elected
GHMC,Ward 51 - Gosha mahal,BC(G),42037,20389,3,0,19192,1109,91,5,SHAIK NIZAMUDDIN,44,TJSP,
GHMC,Ward 51 - Gosha mahal,BC(G),42037,20389,3,0,19192,1109,91,6,K ABISHEK KUMAR,5,INDEPENDENT,
GHMC,Ward 51 - Gosha mahal,BC(G),42037,20389,3,0,19192,1109,91,7,GANGA RAM RANJIT SINGH,11,INDEPENDENT,
GHMC,Ward 51 - Gosha mahal,BC(G),42037,20389,3,0,19192,1109,91,8,DINESH SHUKLA,291,INDEPENDENT,
GHMC,Ward 51 - Gosha mahal,BC(G),42037,20389,3,0,19192,1109,91,9,MANOJ SINGH,15,INDEPENDENT,
GHMC,Ward 51 - Gosha mahal,BC(G),42037,20389,3,0,19192,1109,91,10,MILIND RAJ SINGH,9,INDEPENDENT,
GHMC,Ward 51 - Gosha mahal,BC(G),42037,20389,3,0,19192,1109,91,11,P VENKATESH GOUD,41,INDEPENDENT,
GHMC,Ward 51 - Gosha mahal,BC(G),42037,20389,3,0,19192,1109,91,12,G SHIVA,87,INDEPENDENT,
GHMC,Ward 51 - Gosha mahal,BC(G),42037,20389,3,0,19192,1109,91,13,A SHIVA RAJ,9,INDEPENDENT,
GHMC,Ward 51 - Gosha mahal,BC(G),42037,20389,3,0,19192,1109,91,14,T SHANKER SINGH,15,INDEPENDENT,
GHMC,Ward 52 - Puranapool,BC(G),37595,18859,6,0,18278,528,59,1,AHMED ASLAM ULLAH SHAREEF,409,INC,
GHMC,Ward 52 - Puranapool,BC(G),37595,18859,6,0,18278,528,59,2,PENDYALA LAXMAN RAO,1110,TRS,
GHMC,Ward 52 - Puranapool,BC(G),37595,18859,6,0,18278,528,59,3,S RAJ MOHAN,10779,AIMIM,Elected
GHMC,Ward 52 - Puranapool,BC(G),37595,18859,6,0,18278,528,59,4,K SURENDER,5874,BJP,
GHMC,Ward 52 - Puranapool,BC(G),37595,18859,6,0,18278,528,59,5,ANIL SEN,6,TJSP,
GHMC,Ward 52 - Puranapool,BC(G),37595,18859,6,0,18278,528,59,6,MOHAMMED ABDUL QAYYUM,75,INDEPENDENT,
GHMC,Ward 52 - Puranapool,BC(G),37595,18859,6,0,18278,528,59,7,MOHAMMED DASTAGIR,25,INDEPENDENT,
GHMC,Ward 53 - Doodbowli,BC(G),37786,19116,4,0,18417,625,78,1,MD ANWAR HUSSAIN,82,TDP,
GHMC,Ward 53 - Doodbowli,BC(G),37786,19116,4,0,18417,625,78,2,AKUTHOTA NIRANJAN KUMAR,4034,BJP,
GHMC,Ward 53 - Doodbowli,BC(G),37786,19116,4,0,18417,625,78,3,M A JALEEL,378,INC,
GHMC,Ward 53 - Doodbowli,BC(G),37786,19116,4,0,18417,625,78,4,MOHD ABDUR RAHMAN,1661,TRS,
GHMC,Ward 53 - Doodbowli,BC(G),37786,19116,4,0,18417,625,78,5,MOHD SALEEM,12230,AIMIM,Elected
GHMC,Ward 53 - Doodbowli,BC(G),37786,19116,4,0,18417,625,78,6,M.A.AKHEEL,32,INDEPENDENT,
GHMC,Ward 54 - Jahanuma,BC(G),47155,22025,3,0,21392,565,71,1,KHAJA GAYAS UDDIN,726,INC,
GHMC,Ward 54 - Jahanuma,BC(G),47155,22025,3,0,21392,565,71,2,PALLE VEERAMANI,1757,TRS,
GHMC,Ward 54 - Jahanuma,BC(G),47155,22025,3,0,21392,565,71,3,MOHAMMED ABDUL MUQTADER,18624,AIMIM,Elected
GHMC,Ward 54 - Jahanuma,BC(G),47155,22025,3,0,21392,565,71,4,A SRIHARI,96,BJP,
GHMC,Ward 54 - Jahanuma,BC(G),47155,22025,3,0,21392,565,71,5,SRI MOHD AHMED SHAREEF,109,INDEPENDENT,
GHMC,Ward 54 - Jahanuma,BC(G),47155,22025,3,0,21392,565,71,6,MOHDAMMED WAHEED ALI,80,INDEPENDENT,
GHMC,Ward 55 - Ramanastpura,BC(G),37948,19189,4,0,18408,735,50,1,MALAKHEDKAR GURU CHARAN,507,BJP,
GHMC,Ward 55 - Ramanastpura,BC(G),37948,19189,4,0,18408,735,50,2,MOHD INKESHAF,1668,TRS,
